tortoise, 12.8254355316781
finch, 12.8522232081651
antelope, 12.8531596833774
warbler, 12.8548811144189
beetle, 12.8727830066165
heron, 12.8847314030891
starling, 12.8933201258956
mantis, 12.8967406878895
rhinoceros, 12.9046292459368
hippo, 12.9111401259003
bird, 12.9123787596569
hummingbird, 12.9176457547387
alligator, 12.9183812661903
parakeet, 12.9213897624773
turtle, 12.9290102251951
pigeon, 12.9389314241827
rhino, 12.9457911039284
owl, 12.9471892211778
thrush, 12.9510354182694
pygmy, 12.9534235905004
flycatcher, 12.9582354967462
kingfisher, 12.9587870423972
locust, 12.9591069112288
lemur, 12.9603788357029
dragonfly, 12.9680662540557
cheetah, 12.9728756037079
leopard, 12.9781828763423
lion, 12.9790655416655
zebra, 12.9884883367802
cockatoo, 12.9905290294034
elephants, 12.9949930528019
stork, 12.9961515905915
ibis, 13.0020642180255
beetles, 13.0029851163144
wren, 13.0054313651041
hippopotamus, 13.0101555677699
tiger, 13.0172802417405
partridge, 13.0181841958336
weevil, 13.0194461568605
iguana, 13.0212685800938
insect, 13.0227630233064
crocodile, 13.0252066831677
pelican, 13.0309244676069
baboon, 13.0317023809414
flamingo, 13.0336250976289
mongoose, 13.0351621325842
plover, 13.0358283969797
darter, 13.0361019853638
camel, 13.036275174422
cicada, 13.0380305200105
rattlesnake, 13.0386254512597
giraffes, 13.0387815457783
grasshoppers, 13.0392967805392
eagle, 13.039724235025
macaw, 13.040610294407
sparrows, 13.0459222491806
mammal, 13.0466049821673
frog, 13.0468468885902
long-tailed, 13.0509980066048
pheasant, 13.0519163860212
butterfly, 13.053582414775
gazelle, 13.0587866752235
white-tailed, 13.0589464209153
cockroach, 13.0612506866669
blackbird, 13.0623199742485
woodpeckers, 13.0679939553619
gull, 13.0680571014822
savanna, 13.0716369831749
buzzard, 13.0730249192228
plumage, 13.0764758349597
armadillo, 13.0778817698816
moth, 13.0824251451328
wildebeest, 13.0832240617585
rooster, 13.0861501625829
Pygmy, 13.0889154913417
otter, 13.0900612742252
cormorant, 13.0907007239136
cuckoo, 13.0933702570446
falcon, 13.0942475863722
whale, 13.0966901135371
wallaby, 13.0971328179604
squirrel, 13.1024196976415
donkey, 13.1026753203084
shrew, 13.1042142832502
tortoises, 13.1057227821111
wasp, 13.1103743344397
penguin, 13.1118183744807
tarantula, 13.1127158138578
Ostrich, 13.1161273411944
dolphin, 13.1225584422068
jaguar, 13.1249782552845
antelopes, 13.1260655561138
subspecies, 13.1262289826065
scorpion, 13.126796652779
lizard, 13.127785608028
beak, 13.1284698755513
centipede, 13.1285734085686
finches, 13.1296374442247
eel, 13.1309339642607
boa, 13.1326111772333
